Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
26/10/2016,4717.5,4717.5,4717.5,4717.5
27/10/2016,4774,4774,4774,4774
28/10/2016,4787,4787,4787,4787
31/10/2016,4827.5,4827.5,4827.5,4827.5
01/11/2016,4862.5,4862.5,4862.5,4862.5
02/11/2016,4871,4871,4871,4871
03/11/2016,4918,4918,4918,4918
04/11/2016,4943,4943,4943,4943
07/11/2016,5032,5032,5032,5032
08/11/2016,5044,5044,5044,5044
09/11/2016,5335,5335,5335,5335
10/11/2016,5619,5619,5619,5619
11/11/2016,5900,5900,5900,5900
14/11/2016,5620,5620,5620,5620
15/11/2016,5448,5448,5448,5448
16/11/2016,5459,5459,5459,5459
17/11/2016,5426,5426,5426,5426
18/11/2016,5446,5446,5446,5446
21/11/2016,5535.5,5535.5,5535.5,5535.5
22/11/2016,5618,5618,5618,5618
23/11/2016,5564,5564,5564,5564
24/11/2016,5834.5,5834.5,5834.5,5834.5
25/11/2016,5822.5,5822.5,5822.5,5822.5
28/11/2016,5935.5,5935.5,5935.5,5935.5
29/11/2016,5778,5778,5778,5778
30/11/2016,5740,5740,5740,5740
01/12/2016,5773,5773,5773,5773
02/12/2016,5736,5736,5736,5736
05/12/2016,5851.5,5851.5,5851.5,5851.5
06/12/2016,5856,5856,5856,5856
07/12/2016,5903.5,5903.5,5903.5,5903.5
08/12/2016,5838,5838,5838,5838
09/12/2016,5824,5824,5824,5824
12/12/2016,5757,5757,5757,5757
13/12/2016,5765.5,5765.5,5765.5,5765.5
14/12/2016,5735,5735,5735,5735
15/12/2016,5682.5,5682.5,5682.5,5682.5
16/12/2016,5649,5649,5649,5649
19/12/2016,5561,5561,5561,5561
20/12/2016,5485.5,5485.5,5485.5,5485.5
21/12/2016,5498.5,5498.5,5498.5,5498.5
22/12/2016,5426,5426,5426,5426
23/12/2016,5482,5482,5482,5482
26/12/2016,5482,5482,5482,5482
28/12/2016,5486,5486,5486,5486
29/12/2016,5514,5514,5514,5514
30/12/2016,5501,5501,5501,5501
03/01/2017,5574,5574,5574,5574
04/01/2017,5500.5,5500.5,5500.5,5500.5
05/01/2017,5611,5611,5611,5611
06/01/2017,5546.5,5546.5,5546.5,5546.5
09/01/2017,5551.5,5551.5,5551.5,5551.5
10/01/2017,5642,5642,5642,5642
11/01/2017,5709.5,5709.5,5709.5,5709.5
12/01/2017,5752.5,5752.5,5752.5,5752.5
13/01/2017,5797,5797,5797,5797
16/01/2017,5857,5857,5857,5857
17/01/2017,5771.5,5771.5,5771.5,5771.5
18/01/2017,5721,5721,5721,5721
19/01/2017,5710,5710,5710,5710
20/01/2017,5706,5706,5706,5706
23/01/2017,5775,5775,5775,5775
24/01/2017,5879,5879,5879,5879
25/01/2017,5867,5867,5867,5867
26/01/2017,5890,5890,5890,5890
27/01/2017,5847,5847,5847,5847
30/01/2017,5857,5857,5857,5857
31/01/2017,5921,5921,5921,5921
01/02/2017,5931,5931,5931,5931
02/02/2017,5903,5903,5903,5903
03/02/2017,5836,5836,5836,5836
06/02/2017,5786,5786,5786,5786
07/02/2017,5802,5802,5802,5802
08/02/2017,5865,5865,5865,5865
09/02/2017,5863,5863,5863,5863
10/02/2017,5872,5872,5872,5872
13/02/2017,6111,6111,6111,6111
14/02/2017,6145,6145,6145,6145
15/02/2017,6016,6016,6016,6016
16/02/2017,6015,6015,6015,6015
17/02/2017,5939,5939,5939,5939
20/02/2017,6002,6002,6002,6002
21/02/2017,6034,6034,6034,6034
22/02/2017,5976,5976,5976,5976
23/02/2017,5991,5991,5991,5991
24/02/2017,5881,5881,5881,5881
27/02/2017,5927,5927,5927,5927
28/02/2017,5936,5936,5936,5936
01/03/2017,6040,6040,6040,6040
02/03/2017,5994,5994,5994,5994
03/03/2017,5910,5910,5910,5910
06/03/2017,5856,5856,5856,5856
07/03/2017,5807,5807,5807,5807
08/03/2017,5782,5782,5782,5782
09/03/2017,5655,5655,5655,5655
10/03/2017,5714.5,5714.5,5714.5,5714.5
13/03/2017,5794,5794,5794,5794
14/03/2017,5747,5747,5747,5747
15/03/2017,5850,5850,5850,5850
16/03/2017,5911,5911,5911,5911
17/03/2017,5889,5889,5889,5889
20/03/2017,5891,5891,5891,5891
21/03/2017,5765.5,5765.5,5765.5,5765.5
22/03/2017,5712,5712,5712,5712
23/03/2017,5790.5,5790.5,5790.5,5790.5
24/03/2017,5782.5,5782.5,5782.5,5782.5
27/03/2017,5673.5,5673.5,5673.5,5673.5
28/03/2017,5774.5,5774.5,5774.5,5774.5
29/03/2017,5847,5847,5847,5847
30/03/2017,5860,5860,5860,5860
31/03/2017,5849,5849,5849,5849
03/04/2017,5817,5817,5817,5817
04/04/2017,5724.5,5724.5,5724.5,5724.5
05/04/2017,5808.5,5808.5,5808.5,5808.5
06/04/2017,5870.5,5870.5,5870.5,5870.5
07/04/2017,5770,5770,5770,5770
10/04/2017,5731,5731,5731,5731
11/04/2017,5746,5746,5746,5746
12/04/2017,5685,5685,5685,5685
13/04/2017,5655,5655,5655,5655
18/04/2017,5620.5,5620.5,5620.5,5620.5
19/04/2017,5600.5,5600.5,5600.5,5600.5
20/04/2017,5611.5,5611.5,5611.5,5611.5
21/04/2017,5601,5601,5601,5601
24/04/2017,5612,5612,5612,5612
25/04/2017,5652.5,5652.5,5652.5,5652.5
26/04/2017,5677.5,5677.5,5677.5,5677.5
27/04/2017,5686.5,5686.5,5686.5,5686.5
28/04/2017,5688.5,5688.5,5688.5,5688.5
02/05/2017,5746.5,5746.5,5746.5,5746.5
03/05/2017,5636.5,5636.5,5636.5,5636.5
04/05/2017,5543,5543,5543,5543
05/05/2017,5530.5,5530.5,5530.5,5530.5
08/05/2017,5466,5466,5466,5466
09/05/2017,5496,5496,5496,5496
10/05/2017,5512,5512,5512,5512
11/05/2017,5580.5,5580.5,5580.5,5580.5
12/05/2017,5520,5520,5520,5520
15/05/2017,5586,5586,5586,5586
16/05/2017,5584,5584,5584,5584
17/05/2017,5575,5575,5575,5575
18/05/2017,5490,5490,5490,5490
19/05/2017,5596,5596,5596,5596
22/05/2017,5677,5677,5677,5677
23/05/2017,5660.5,5660.5,5660.5,5660.5
24/05/2017,5662.5,5662.5,5662.5,5662.5
25/05/2017,5665,5665,5665,5665
26/05/2017,5671,5671,5671,5671
30/05/2017,5608,5608,5608,5608
31/05/2017,5615.5,5615.5,5615.5,5615.5
01/06/2017,5636.5,5636.5,5636.5,5636.5
02/06/2017,5559.5,5559.5,5559.5,5559.5
05/06/2017,5586.5,5586.5,5586.5,5586.5
06/06/2017,5540.5,5540.5,5540.5,5540.5
07/06/2017,5575.5,5575.5,5575.5,5575.5
08/06/2017,5647.5,5647.5,5647.5,5647.5
09/06/2017,5739,5739,5739,5739
12/06/2017,5752,5752,5752,5752
13/06/2017,5659,5659,5659,5659
14/06/2017,5684.5,5684.5,5684.5,5684.5
15/06/2017,5637,5637,5637,5637
16/06/2017,5655.5,5655.5,5655.5,5655.5
19/06/2017,5687,5687,5687,5687
20/06/2017,5673.5,5673.5,5673.5,5673.5
21/06/2017,5650,5650,5650,5650
22/06/2017,5736,5736,5736,5736
23/06/2017,5774,5774,5774,5774
26/06/2017,5771,5771,5771,5771
27/06/2017,5789,5789,5789,5789
28/06/2017,5822,5822,5822,5822
29/06/2017,5905.5,5905.5,5905.5,5905.5
30/06/2017,5907.5,5907.5,5907.5,5907.5
03/07/2017,5894,5894,5894,5894
04/07/2017,5847,5847,5847,5847
05/07/2017,5818,5818,5818,5818
06/07/2017,5828.5,5828.5,5828.5,5828.5
07/07/2017,5809,5809,5809,5809
10/07/2017,5780,5780,5780,5780
11/07/2017,5795,5795,5795,5795
12/07/2017,5882.5,5882.5,5882.5,5882.5
13/07/2017,5902,5902,5902,5902
14/07/2017,5858,5858,5858,5858
17/07/2017,5965.5,5965.5,5965.5,5965.5
18/07/2017,5940.5,5940.5,5940.5,5940.5
19/07/2017,5956,5956,5956,5956
20/07/2017,5930,5930,5930,5930
21/07/2017,6001.5,6001.5,6001.5,6001.5
24/07/2017,6000,6000,6000,6000
25/07/2017,6150,6150,6150,6150
26/07/2017,6238,6238,6238,6238
27/07/2017,6325,6325,6325,6325
28/07/2017,6283,6283,6283,6283
31/07/2017,6347,6347,6347,6347
01/08/2017,6300.5,6300.5,6300.5,6300.5
02/08/2017,6300,6300,6300,6300
03/08/2017,6290,6290,6290,6290
04/08/2017,6330,6330,6330,6330
07/08/2017,6333,6333,6333,6333
08/08/2017,6364,6364,6364,6364
09/08/2017,6465,6465,6465,6465
10/08/2017,6416.5,6416.5,6416.5,6416.5
11/08/2017,6353.5,6353.5,6353.5,6353.5
14/08/2017,6351,6351,6351,6351
15/08/2017,6382,6382,6382,6382
16/08/2017,6433,6433,6433,6433
17/08/2017,6460,6460,6460,6460
18/08/2017,6453,6453,6453,6453
21/08/2017,6514.5,6514.5,6514.5,6514.5
22/08/2017,6584,6584,6584,6584
23/08/2017,6555,6555,6555,6555
24/08/2017,6577,6577,6577,6577
25/08/2017,6714,6714,6714,6714
29/08/2017,6797,6797,6797,6797
30/08/2017,6755,6755,6755,6755
31/08/2017,6792,6792,6792,6792
01/09/2017,6776,6776,6776,6776
04/09/2017,6873,6873,6873,6873
05/09/2017,6904,6904,6904,6904
06/09/2017,6864,6864,6864,6864
07/09/2017,6842.5,6842.5,6842.5,6842.5
08/09/2017,6780,6780,6780,6780
11/09/2017,6737,6737,6737,6737
12/09/2017,6601.5,6601.5,6601.5,6601.5
13/09/2017,6527,6527,6527,6527
14/09/2017,6418.5,6418.5,6418.5,6418.5
15/09/2017,6457,6457,6457,6457
18/09/2017,6487,6487,6487,6487
19/09/2017,6492,6492,6492,6492
20/09/2017,6520,6520,6520,6520
21/09/2017,6407.5,6407.5,6407.5,6407.5
22/09/2017,6405,6405,6405,6405
25/09/2017,6416,6416,6416,6416
26/09/2017,6423,6423,6423,6423
27/09/2017,6426,6426,6426,6426
28/09/2017,6405,6405,6405,6405
29/09/2017,6485,6485,6485,6485
02/10/2017,6455,6455,6455,6455
03/10/2017,6447,6447,6447,6447
04/10/2017,6453,6453,6453,6453
05/10/2017,6511,6511,6511,6511
06/10/2017,6639,6639,6639,6639
09/10/2017,6607,6607,6607,6607
10/10/2017,6641,6641,6641,6641
11/10/2017,6685,6685,6685,6685
12/10/2017,6813,6813,6813,6813
13/10/2017,6858,6858,6858,6858
16/10/2017,7063,7063,7063,7063
17/10/2017,7046,7046,7046,7046
18/10/2017,6971.5,6971.5,6971.5,6971.5
19/10/2017,6920,6920,6920,6920
20/10/2017,7008.5,7008.5,7008.5,7008.5
23/10/2017,6959,6959,6959,6959
24/10/2017,7073.5,7073.5,7073.5,7073.5
25/10/2017,6970.5,6970.5,6970.5,6970.5
26/10/2017,6965,6965,6965,6965
27/10/2017,6831.5,6831.5,6831.5,6831.5
30/10/2017,6823,6823,6823,6823
31/10/2017,6802,6802,6802,6802
01/11/2017,6918,6918,6918,6918
02/11/2017,6855,6855,6855,6855
03/11/2017,6914.5,6914.5,6914.5,6914.5
06/11/2017,6902.5,6902.5,6902.5,6902.5
07/11/2017,6863,6863,6863,6863
08/11/2017,6812,6812,6812,6812
09/11/2017,6777,6777,6777,6777
10/11/2017,6797,6797,6797,6797
13/11/2017,6768,6768,6768,6768
14/11/2017,6822.5,6822.5,6822.5,6822.5
15/11/2017,6715.5,6715.5,6715.5,6715.5
16/11/2017,6764,6764,6764,6764
17/11/2017,6728.5,6728.5,6728.5,6728.5
20/11/2017,6752,6752,6752,6752
21/11/2017,6828,6828,6828,6828
22/11/2017,6872.5,6872.5,6872.5,6872.5
23/11/2017,6895.5,6895.5,6895.5,6895.5
24/11/2017,6967.5,6967.5,6967.5,6967.5
27/11/2017,6892,6892,6892,6892
28/11/2017,6800,6800,6800,6800
29/11/2017,6756.5,6756.5,6756.5,6756.5
30/11/2017,6761,6761,6761,6761
01/12/2017,6734,6734,6734,6734
04/12/2017,6807,6807,6807,6807
05/12/2017,6645,6645,6645,6645
06/12/2017,6539,6539,6539,6539
07/12/2017,6530.5,6530.5,6530.5,6530.5
08/12/2017,6538.5,6538.5,6538.5,6538.5
11/12/2017,6547.5,6547.5,6547.5,6547.5
12/12/2017,6614,6614,6614,6614
13/12/2017,6685,6685,6685,6685
14/12/2017,6723,6723,6723,6723
15/12/2017,6735.5,6735.5,6735.5,6735.5
18/12/2017,6844,6844,6844,6844
19/12/2017,6845,6845,6845,6845
20/12/2017,6925,6925,6925,6925
21/12/2017,6977,6977,6977,6977
22/12/2017,7019,7019,7019,7019
27/12/2017,7140,7140,7140,7140
28/12/2017,7216,7216,7216,7216
29/12/2017,7157,7157,7157,7157
02/01/2018,7181,7181,7181,7181
03/01/2018,7115.5,7115.5,7115.5,7115.5
04/01/2018,7202.5,7202.5,7202.5,7202.5
05/01/2018,7097,7097,7097,7097
08/01/2018,7084.5,7084.5,7084.5,7084.5
09/01/2018,7092,7092,7092,7092
10/01/2018,7140.5,7140.5,7140.5,7140.5
11/01/2018,7123,7123,7123,7123
12/01/2018,7070.5,7070.5,7070.5,7070.5
15/01/2018,7180,7180,7180,7180
16/01/2018,7023,7023,7023,7023
17/01/2018,7047,7047,7047,7047
18/01/2018,7047,7047,7047,7047
19/01/2018,7079,7079,7079,7079
22/01/2018,7049,7049,7049,7049
23/01/2018,6905,6905,6905,6905
24/01/2018,6943,6943,6943,6943
25/01/2018,7112,7112,7112,7112
26/01/2018,7063.5,7063.5,7063.5,7063.5
29/01/2018,7062,7062,7062,7062
30/01/2018,7049,7049,7049,7049
31/01/2018,7100.5,7100.5,7100.5,7100.5
01/02/2018,7027,7027,7027,7027
02/02/2018,7066,7066,7066,7066
05/02/2018,7050,7050,7050,7050
06/02/2018,7060,7060,7060,7060
07/02/2018,7006,7006,7006,7006
08/02/2018,6838,6838,6838,6838
09/02/2018,6755,6755,6755,6755
12/02/2018,6786.5,6786.5,6786.5,6786.5
13/02/2018,6908,6908,6908,6908
14/02/2018,6962,6962,6962,6962
15/02/2018,7098,7098,7098,7098
16/02/2018,7159,7159,7159,7159
19/02/2018,7093,7093,7093,7093
20/02/2018,7027,7027,7027,7027
21/02/2018,7003,7003,7003,7003
22/02/2018,7032,7032,7032,7032
23/02/2018,7073.5,7073.5,7073.5,7073.5
26/02/2018,7111,7111,7111,7111
27/02/2018,7028,7028,7028,7028
28/02/2018,6953,6953,6953,6953
01/03/2018,6852,6852,6852,6852
02/03/2018,6883,6883,6883,6883
05/03/2018,6850,6850,6850,6850
06/03/2018,6968.5,6968.5,6968.5,6968.5
07/03/2018,6873,6873,6873,6873
08/03/2018,6830,6830,6830,6830
09/03/2018,6808,6808,6808,6808
12/03/2018,6857,6857,6857,6857
13/03/2018,6883,6883,6883,6883
14/03/2018,7015,7015,7015,7015
15/03/2018,6885.5,6885.5,6885.5,6885.5
16/03/2018,6923,6923,6923,6923
19/03/2018,6791.5,6791.5,6791.5,6791.5
20/03/2018,6784,6784,6784,6784
21/03/2018,6675,6675,6675,6675
22/03/2018,6746.5,6746.5,6746.5,6746.5
23/03/2018,6658,6658,6658,6658
26/03/2018,6500,6500,6500,6500
27/03/2018,6641.5,6641.5,6641.5,6641.5
28/03/2018,6601.5,6601.5,6601.5,6601.5
29/03/2018,6685,6685,6685,6685
03/04/2018,6756,6756,6756,6756
04/04/2018,6625,6625,6625,6625
05/04/2018,6767,6767,6767,6767
06/04/2018,6703,6703,6703,6703
09/04/2018,6767,6767,6767,6767
10/04/2018,6888,6888,6888,6888
11/04/2018,6930.5,6930.5,6930.5,6930.5
12/04/2018,6756,6756,6756,6756
13/04/2018,6830,6830,6830,6830
16/04/2018,6811.5,6811.5,6811.5,6811.5
17/04/2018,6784,6784,6784,6784
18/04/2018,6936,6936,6936,6936
19/04/2018,6942,6942,6942,6942
20/04/2018,6939,6939,6939,6939
23/04/2018,6923,6923,6923,6923
24/04/2018,6987,6987,6987,6987
25/04/2018,6960.5,6960.5,6960.5,6960.5
26/04/2018,6885.5,6885.5,6885.5,6885.5
27/04/2018,6797,6797,6797,6797
30/04/2018,6783,6783,6783,6783
01/05/2018,6777.5,6777.5,6777.5,6777.5
02/05/2018,6785,6785,6785,6785
03/05/2018,6837,6837,6837,6837
04/05/2018,6783,6783,6783,6783
08/05/2018,6722,6722,6722,6722
09/05/2018,6786,6786,6786,6786
10/05/2018,6862,6862,6862,6862
11/05/2018,6869,6869,6869,6869
14/05/2018,6828,6828,6828,6828
15/05/2018,6822.5,6822.5,6822.5,6822.5
16/05/2018,6773.5,6773.5,6773.5,6773.5
17/05/2018,6838,6838,6838,6838
18/05/2018,6783.5,6783.5,6783.5,6783.5
21/05/2018,6861,6861,6861,6861
22/05/2018,6931.5,6931.5,6931.5,6931.5
23/05/2018,6800,6800,6800,6800
24/05/2018,6835,6835,6835,6835
25/05/2018,6886,6886,6886,6886
29/05/2018,6841.5,6841.5,6841.5,6841.5
30/05/2018,6810,6810,6810,6810
31/05/2018,6825,6825,6825,6825
01/06/2018,6814,6814,6814,6814
04/06/2018,6935,6935,6935,6935
05/06/2018,6971,6971,6971,6971
06/06/2018,7147,7147,7147,7147
07/06/2018,7245.5,7245.5,7245.5,7245.5
08/06/2018,7262.5,7262.5,7262.5,7262.5
11/06/2018,7223.5,7223.5,7223.5,7223.5
12/06/2018,7200.5,7200.5,7200.5,7200.5
13/06/2018,7201.5,7201.5,7201.5,7201.5
14/06/2018,7197,7197,7197,7197
15/06/2018,7136,7136,7136,7136
18/06/2018,6987,6987,6987,6987
19/06/2018,6820,6820,6820,6820
20/06/2018,6819,6819,6819,6819
21/06/2018,6801,6801,6801,6801
22/06/2018,6811,6811,6811,6811
25/06/2018,6783,6783,6783,6783
26/06/2018,6712,6712,6712,6712
27/06/2018,6688,6688,6688,6688
28/06/2018,6650,6650,6650,6650
29/06/2018,6646,6646,6646,6646
02/07/2018,6595,6595,6595,6595
03/07/2018,6584.5,6584.5,6584.5,6584.5
04/07/2018,6459,6459,6459,6459
05/07/2018,6399.5,6399.5,6399.5,6399.5
06/07/2018,6326,6326,6326,6326
09/07/2018,6383,6383,6383,6383
10/07/2018,6308,6308,6308,6308
11/07/2018,6182,6182,6182,6182
12/07/2018,6173,6173,6173,6173
13/07/2018,6166,6166,6166,6166
16/07/2018,6143,6143,6143,6143
17/07/2018,6141.5,6141.5,6141.5,6141.5
18/07/2018,6068,6068,6068,6068
19/07/2018,5982,5982,5982,5982
20/07/2018,6073,6073,6073,6073
23/07/2018,6153,6153,6153,6153
24/07/2018,6167,6167,6167,6167
25/07/2018,6252,6252,6252,6252
26/07/2018,6255,6255,6255,6255
27/07/2018,6251.5,6251.5,6251.5,6251.5
30/07/2018,6185,6185,6185,6185
31/07/2018,6213,6213,6213,6213
01/08/2018,6137,6137,6137,6137
02/08/2018,6063,6063,6063,6063
03/08/2018,6167,6167,6167,6167
06/08/2018,6040,6040,6040,6040
07/08/2018,6132,6132,6132,6132
08/08/2018,6113,6113,6113,6113
09/08/2018,6247,6247,6247,6247
10/08/2018,6120,6120,6120,6120
13/08/2018,6081,6081,6081,6081
14/08/2018,6059,6059,6059,6059
15/08/2018,5843,5843,5843,5843
16/08/2018,5860,5860,5860,5860
17/08/2018,5844,5844,5844,5844
20/08/2018,5963,5963,5963,5963
21/08/2018,6025.5,6025.5,6025.5,6025.5
22/08/2018,6000,6000,6000,6000
23/08/2018,5910.5,5910.5,5910.5,5910.5
24/08/2018,6001,6001,6001,6001
28/08/2018,6118,6118,6118,6118
29/08/2018,6065,6065,6065,6065
30/08/2018,6066.5,6066.5,6066.5,6066.5
31/08/2018,6019,6019,6019,6019
03/09/2018,5951,5951,5951,5951
04/09/2018,5823,5823,5823,5823
05/09/2018,5850,5850,5850,5850
